period,Date,val
0,2/1/1990,205316.9818
1,3/1/1990,223856.1821
2,4/2/1990,227186.586
3,5/1/1990,193722.7879
4,6/1/1990,218279.1376
5,7/2/1990,213436.1508
6,8/1/1990,199128.685
7,10/1/1990,151986.9299
8,11/1/1990,129529.0683
9,12/3/1990,160366.3209
10,2/1/1991,164369.9852
11,3/1/1991,193902.5975
12,4/1/1991,226565.8997
13,5/1/1991,224637.6447
14,6/3/1991,225152.3783
15,7/1/1991,216604.2646
16,8/1/1991,247577.4462
17,10/1/1991,291315.7019
18,11/1/1991,280127.0473
19,12/2/1991,251530.0257
20,2/3/1992,350533.6109
21,3/2/1992,372586.6107
22,4/1/1992,318330.7321
23,5/1/1992,293481.71
24,6/1/1992,282195.0729
25,7/1/1992,302920.4594
26,8/3/1992,314927.7495
27,9/1/1992,283921.7525
28,10/1/1992,276965.2439
29,11/2/1992,282944.1287
30,12/1/1992,323259.4178
31,2/1/1993,3132887.311
32,3/1/1993,3430829.207
33,4/1/1993,3761945.277
34,5/3/1993,3686597.25
35,6/1/1993,3869557.666
36,7/1/1993,4113778.674
37,8/2/1993,4315739.963
38,9/1/1993,4800882.493
39,10/1/1993,5049473.758
40,11/1/1993,4735034.56
41,12/1/1993,4462266.237
42,1/3/1994,4919195.775
43,2/1/1994,6339571.544
44,3/1/1994,5372993.4
45,5/2/1994,5177353.245
46,6/1/1994,5061807.991
47,7/1/1994,4804163.912
48,8/1/1994,5124292.341
49,9/1/1994,5642740.8
50,10/3/1994,4800564.411
51,11/1/1994,5278727.26
52,12/1/1994,4830101.36
53,2/1/1995,5348329.139
54,3/1/1995,5697604.332
55,4/3/1995,5698292.095
56,5/1/1995,6066612.873
57,6/1/1995,6446071.035
58,7/3/1995,6590375.101
59,8/1/1995,7028528.93
60,9/1/1995,7306497.386
61,10/2/1995,7895988.612
62,11/1/1995,7469787.971
63,12/1/1995,8174747.5
64,2/1/1996,8930572.847
65,3/1/1996,9316408.001
66,4/1/1996,9227449.306
67,5/1/1996,8420264.738
68,6/3/1996,8559830.839
69,7/1/1996,9349828.585
70,8/1/1996,8714803.27
71,10/1/1996,9901192.224
72,11/1/1996,10879269.18
73,12/2/1996,12021160.5
74,2/3/1997,14527540.78
75,3/3/1997,14713678.16
76,4/1/1997,13535292.3
77,5/1/1997,14687335.85
78,6/2/1997,15447632.19
79,7/1/1997,18659886.6
80,8/1/1997,20585014.59
81,10/1/1997,20216589.68
82,11/3/1997,20681000.76
83,12/1/1997,30285889.55
84,2/2/1998,29053646.74
85,3/2/1998,30242478.18
86,4/1/1998,33641637.16
87,5/1/1998,35574962.26
88,6/1/1998,36982281.75
89,7/1/1998,36891538.84
90,8/3/1998,39293831.16
91,9/1/1998,25565523.39
92,10/1/1998,19680273.83
93,11/2/1998,9532667.438
94,12/1/1998,11865100.16
95,2/1/1999,14722906.35
96,3/1/1999,15714866.58
97,4/1/1999,20196290.99
98,5/3/1999,21490446.76
99,6/1/1999,20950845.99
100,7/1/1999,20771543.75
101,8/2/1999,18628605.07
102,9/1/1999,18113653.62
103,10/1/1999,15724796.01
104,11/1/1999,18300014.28
105,12/1/1999,18714109.85
106,1/3/2000,19103360.65
107,2/1/2000,21276728.34
108,3/1/2000,25848194.11
109,4/3/2000,27297790.67
110,5/1/2000,26685160.83
111,6/1/2000,136365351.2
112,7/3/2000,118649132.3
113,8/1/2000,134921883.3
114,9/1/2000,143347837.7
115,10/2/2000,148247484.1
116,11/1/2000,136428681.9
117,12/1/2000,141780302
118,2/1/2001,175073247.5
119,3/1/2001,168354854.6
120,4/2/2001,161454956
121,5/1/2001,176814339
122,6/1/2001,153576571.1
123,7/2/2001,161702143.3
124,8/1/2001,151726032.3
125,10/1/2001,130969466.4
126,11/1/2001,145129826.5
127,12/3/2001,143926952.3
128,2/1/2002,21702174.12
129,3/1/2002,20914510.18
130,4/1/2002,23571770.86
131,5/1/2002,19375801.37
132,6/3/2002,18303650.26
133,7/1/2002,18229076.34
134,8/1/2002,17523493.86
135,10/1/2002,16891106.59
136,11/1/2002,18172447.21
137,12/2/2002,19924892.09
138,2/3/2003,17328139.32
139,3/3/2003,16716113.14
140,4/1/2003,18014174.99
141,5/1/2003,19764934.32
142,6/2/2003,21249318.72
143,7/1/2003,22436980.82
144,8/1/2003,23992176.04
145,10/1/2003,24338009.87
146,11/3/2003,27275156.95
147,12/1/2003,26730023.82
148,2/2/2004,33668601.45
149,3/1/2004,36529963.03
150,4/1/2004,35421680.66
151,5/3/2004,31886438.96
152,6/1/2004,29986630.26
153,7/1/2004,28203068.3
154,8/2/2004,29358128.1
155,9/1/2004,29715700.11
156,10/1/2004,29761713.17
157,11/1/2004,30993072.5
158,12/1/2004,31570618.29
159,1/3/2005,32897991.86
160,2/1/2005,34159404.02
161,3/1/2005,34224270.29
162,4/1/2005,34050570.73
163,5/2/2005,30513135.88
164,6/1/2005,30014402.49
165,7/1/2005,30942850.12
166,8/1/2005,31538191.4
167,9/1/2005,31428399.65
168,10/3/2005,33646667.05
169,11/1/2005,33732559.12
170,12/1/2005,35239443.86
171,2/1/2006,38488609.4
172,3/1/2006,39257915.83
173,4/3/2006,41256107.12
174,5/1/2006,39854555.37
175,6/1/2006,38380453.84
176,7/3/2006,40322293.95
177,8/1/2006,36614077.3
178,9/1/2006,36071195.23
179,10/2/2006,39174008.38
180,11/1/2006,40549208.25
181,12/1/2006,40967477.98
182,2/1/2007,52838342.55
183,3/1/2007,47140092.97
184,4/2/2007,49626850.8
185,5/1/2007,51623180.17
186,6/1/2007,53026372.9
187,7/2/2007,46884456.16
188,8/1/2007,40807405.32
189,10/1/2007,45201681.09
190,11/1/2007,44820681.16
191,12/3/2007,42049236.92
192,2/1/2008,38896285.78
193,3/3/2008,32168076.48
194,4/1/2008,34779937.89
195,5/1/2008,38027250.34
196,6/2/2008,32338034.9
197,7/1/2008,30401450.84
198,8/1/2008,31887827.43
199,10/1/2008,20776646.51
200,11/3/2008,15768109.78
201,12/1/2008,10270210.16
202,2/2/2009,8984072.458
203,3/2/2009,8658896.802
204,4/1/2009,12621853.15
205,5/1/2009,15344826.38
206,6/1/2009,19247068.05
207,7/1/2009,17141023.23
208,8/3/2009,18843003.01
209,9/1/2009,17997456.22
210,10/1/2009,19741902.62
211,11/2/2009,19990661.66
212,12/1/2009,20749904.43
213,2/1/2010,18112345.11
214,3/1/2010,18285047.69
215,4/1/2010,21454840.91
216,5/3/2010,19758925.09
217,6/1/2010,16592467.51
218,7/1/2010,15760028.14
219,8/2/2010,19601215.41
220,9/1/2010,17593574.95
221,10/1/2010,15912772.97
222,11/1/2010,22636141.33
223,12/1/2010,20914916.67
224,1/3/2011,22059907.2
225,2/1/2011,25183170.49
226,3/1/2011,25366641.5
227,4/1/2011,24511206.29
228,5/2/2011,26043384.55
229,6/1/2011,23881245.29
230,7/1/2011,30415381.33
231,8/1/2011,30587476.1
232,9/1/2011,25311197.13
233,10/3/2011,19935586.25
234,11/1/2011,23568442.86
235,12/1/2011,20804377.73
236,2/1/2012,25172983.78
237,3/1/2012,26915507.43
238,4/2/2012,27521993.46
239,5/1/2012,25170731.74
240,6/1/2012,20328360.66
241,7/2/2012,21985527.46
242,8/1/2012,22228814
243,10/1/2012,71458105.97
244,11/1/2012,75130648.49
245,12/3/2012,70780815.8
246,2/1/2013,83932431.47
247,3/1/2013,87403293
248,4/1/2013,83934886.43
249,5/1/2013,83301036.79
250,6/3/2013,95241249.73
251,7/1/2013,90829152.07
252,8/1/2013,98987923.56
253,10/1/2013,92592487.7
254,11/1/2013,92476752.06
255,12/2/2013,35223659.49
256,2/3/2014,36491122.36
257,3/3/2014,37927408.44
258,4/1/2014,38576374.15
259,5/1/2014,37403918.46
260,6/2/2014,72790571.8
261,7/1/2014,74358013.42
262,8/1/2014,87457144.88
263,10/1/2014,99511123.32
264,11/3/2014,103479723.6
265,12/1/2014,100953587.7
266,2/2/2015,90096238.86
267,3/2/2015,77950427.24
268,4/1/2015,75073403.13
269,5/1/2015,78368299.27
270,6/1/2015,80473491.33
271,7/1/2015,46788393.94
272,8/3/2015,45912287.48
273,9/1/2015,39984857.8
274,10/1/2015,38780437.29
275,11/2/2015,42555994.59
276,12/1/2015,43736114.82
277,2/1/2016,35196590.77
278,3/1/2016,35044416.16
279,4/1/2016,35955828.01
280,5/2/2016,36736846.77
281,6/1/2016,36321228.05
282,7/1/2016,58928644.17
283,8/1/2016,64397691.41
284,9/1/2016,71858521.89
285,10/3/2016,69841335.2
286,11/1/2016,75808056.29
287,12/1/2016,99674412.91
288,2/1/2017,50898112.82
289,3/1/2017,56159737.36
290,4/3/2017,47141316.06
291,5/1/2017,46890516.82
292,6/1/2017,46279228.57
293,7/3/2017,50163178.19
294,8/1/2017,50157301.86
295,9/1/2017,49212073.12
296,10/2/2017,52472622.1
297,11/1/2017,53523226.6
298,12/1/2017,55380234.75
299,2/1/2018,60699311.08
300,3/1/2018,58197964.9
301,4/2/2018,55844467.83
302,5/1/2018,55549858.65
303,6/1/2018,55709822.34
304,7/2/2018,52532057.04
305,8/1/2018,53428625.24
306,10/1/2018,51933787.85
307,11/1/2018,50075254.99
308,12/3/2018,48235760.88
309,2/1/2019,48020385.41
310,3/1/2019,48669410.62
311,4/1/2019,47948195.2
312,5/1/2019,50576109.65
313,6/3/2019,47050319.69
314,7/1/2019,72020695.86
315,8/1/2019,72722630.07
316,10/1/2019,51255323.22
317,11/1/2019,54021734.63
318,12/2/2019,55678591.65
319,2/3/2020,59611735.42
320,3/2/2020,54838320.28
321,4/1/2020,41642619.86
