,Liquid Alternative Beta Index,,,Event Driven Liquid Index,,,Global Strategies Liquid Index,,,Long/Short Liquid Index,,,Managed Futures Liquid Index,,,Merger Arbitrage Liquid Index,,
,CSLAB,,,CSLABED,,,CSLABGS,,,CSLABLS,,,CSLABMF,,,CSLABMA,,
Date,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR
6/8/2020,USD,1405.94,0.22%,USD,1639.25,-0.01%,USD,1145.41,-0.02%,USD,1764.73,0.89%,USD,988.28,0.10%,USD,1240.18,0.05%
6/7/2020,USD,1402.83,0.00%,USD,1639.4,0.00%,USD,1145.59,0.00%,USD,1749.2,0.00%,USD,987.34,0.00%,USD,1239.56,0.00%
6/6/2020,USD,1402.83,0.00%,USD,1639.4,0.00%,USD,1145.59,0.00%,USD,1749.2,0.00%,USD,987.34,0.00%,USD,1239.56,0.00%
6/5/2020,USD,1402.83,0.71%,USD,1639.4,0.95%,USD,1145.59,0.35%,USD,1749.2,1.39%,USD,987.34,-0.66%,USD,1239.56,0.15%
6/4/2020,USD,1392.99,0.02%,USD,1623.98,0.14%,USD,1141.61,0.06%,USD,1725.17,-0.14%,USD,993.89,-0.05%,USD,1237.7,0.29%
6/3/2020,USD,1392.75,0.61%,USD,1621.73,1.01%,USD,1140.95,0.39%,USD,1727.64,0.90%,USD,994.4,-0.63%,USD,1234.13,0.05%
6/2/2020,USD,1384.33,0.39%,USD,1605.55,0.77%,USD,1136.54,0.33%,USD,1712.26,0.35%,USD,1000.75,-0.47%,USD,1233.5,-0.19%
6/1/2020,USD,1378.89,0.22%,USD,1593.3,0.41%,USD,1132.85,0.11%,USD,1706.3,0.36%,USD,1005.49,-0.83%,USD,1235.84,0.23%
5/31/2020,USD,1375.88,0.00%,USD,1586.73,0.00%,USD,1131.57,0.00%,USD,1700.25,0.00%,USD,1013.95,0.00%,USD,1232.96,0.00%
5/30/2020,USD,1375.88,0.00%,USD,1586.73,0.00%,USD,1131.57,0.00%,USD,1700.25,0.00%,USD,1013.95,0.00%,USD,1232.96,0.00%
