period,Date,val
0,2/1/1990,1019227.556
1,3/1/1990,1078870.065
2,4/2/1990,1057713.552
3,5/1/1990,1052867.877
4,6/1/1990,1117668.325
5,7/2/1990,1029916.299
6,8/1/1990,1035712.238
7,10/1/1990,903394.4667
8,11/1/1990,890543.3028
9,12/3/1990,1132124.81
10,2/1/1991,1168377.806
11,3/1/1991,1233081.075
12,4/1/1991,1254285.007
13,5/1/1991,1198243.2
14,6/3/1991,1174074.953
15,7/1/1991,1092010.687
16,8/1/1991,1101897.491
17,10/1/1991,1033367.605
18,11/1/1991,1046116.71
19,12/2/1991,859184.3086
20,2/3/1992,925929.6461
21,3/2/1992,943546.2891
22,4/1/1992,904485.4228
23,5/1/1992,913955.0531
24,6/1/1992,932486.4784
25,7/1/1992,976926.8945
26,8/3/1992,1002186.31
27,9/1/1992,994043.6525
28,10/1/1992,1058265.548
29,11/2/1992,1248734.676
30,12/1/1992,1316115.399
31,2/1/1993,4404843.836
32,3/1/1993,4312471.207
33,4/1/1993,4375379.989
34,5/3/1993,4354148.155
35,6/1/1993,5003451.781
36,7/1/1993,5432411.161
37,8/2/1993,5747419.994
38,9/1/1993,6153589.776
39,10/1/1993,5977112.259
40,11/1/1993,5999539.116
41,12/1/1993,5820546.252
42,1/3/1994,5663260.88
43,2/1/1994,5657335.877
44,3/1/1994,5177967.512
45,5/2/1994,5319398.405
46,6/1/1994,5589793.718
47,7/1/1994,5423745.891
48,8/1/1994,6266677.899
49,9/1/1994,6107527.65
50,10/3/1994,5998032.221
51,11/1/1994,6532589.456
52,12/1/1994,6624940.187
53,2/1/1995,8047824.427
54,3/1/1995,7164902.88
55,4/3/1995,7351133.09
56,5/1/1995,7313532.05
57,6/1/1995,7520273.463
58,7/3/1995,7708574.097
59,8/1/1995,8283036.115
60,9/1/1995,8771449.039
61,10/2/1995,9958895.519
62,11/1/1995,9977996.964
63,12/1/1995,10744372.47
64,2/1/1996,10764762.79
65,3/1/1996,12231461.95
66,4/1/1996,11379616.42
67,5/1/1996,10994318.23
68,6/3/1996,9963536.683
69,7/1/1996,10829948.36
70,8/1/1996,10500984.47
71,10/1/1996,10743768.75
72,11/1/1996,11370526.83
73,12/2/1996,12102025.08
74,2/3/1997,12700042.9
75,3/3/1997,12878627.7
76,4/1/1997,12979612.07
77,5/1/1997,13731194.56
78,6/2/1997,15403381.99
79,7/1/1997,16733858.65
80,8/1/1997,17109475.95
81,10/1/1997,15986955.25
82,11/3/1997,16343490.14
83,12/1/1997,17135168.09
84,2/2/1998,18600105.22
85,3/2/1998,19983151.85
86,4/1/1998,23514391.42
87,5/1/1998,24388529.84
88,6/1/1998,24991181.7
89,7/1/1998,27536913.61
90,8/3/1998,24502551.89
91,9/1/1998,20340434.87
92,10/1/1998,19617548.54
93,11/2/1998,37516975.46
94,12/1/1998,39961125.56
95,2/1/1999,23214438.07
96,3/1/1999,24369414.01
97,4/1/1999,29368765.97
98,5/3/1999,30010765.84
